Rank,Major,Degree,Early Career Pay(in $),Mid-Career Pay(in $),% High Meaning
1,Petroleum Engineering,Bachelors,97500,212500,61%
2,Operations Research & Industrial Engineering,Bachelors,98300,191800,21%
3,Interaction Design,Bachelors,74700,173600,54%
4,Applied Economics and Management,Bachelors,76500,164400,54%
5,Building Science,Bachelors,69000,163100,47%
6,Actuarial Mathematics,Bachelors,70700,160000,52%
6,Operations Research,Bachelors,92200,160000,57%
8,Systems Engineering,Bachelors,87000,159100,58%
9,Optical Science & Engineering,Bachelors,79600,158300,73%
10,Information & Computer Science,Bachelors,76000,157800,63%
11,Aeronautics & Astronautics,Bachelors,88200,156900,56%
12,Aerospace Studies,Bachelors,62600,154300,-
13,Pharmacy,Bachelors,69400,154000,79%
14,Cognitive Science,Bachelors,78000,153800,43%
15,Managerial Economics,Bachelors,74700,153300,38%
16,Quantitative Economics,Bachelors,74500,152700,43%
17,Econometrics,Bachelors,72000,152100,35%
18,Foreign Affairs,Bachelors,62900,152000,32%
19,Chemical Engineering,Bachelors,85600,151800,55%
20,Public Accounting,Bachelors,69700,151200,47%
21,Political Economy,Bachelors,73100,150600,31%
22,Corporate Accounting & Finance,Bachelors,76800,149600,50%
23,Actuarial Science,Bachelors,76700,149000,42%
24,Computer Engineering (CE),Bachelors,89100,148500,46%
25,Electrical Power Engineering,Bachelors,84700,148300,72%
26,Computer Science (CS) & Engineering,Bachelors,90500,148200,44%
27,Marine Transportation Management,Bachelors,78700,148000,-
28,Marine Engineering,Bachelors,87900,147500,57%
28,Operations & Information Systems Management,Bachelors,78800,147500,24%
30,Electrical & Computer Engineering (ECE),Bachelors,88100,147000,49%
31,Entrepreneurship & Marketing,Bachelors,63200,145800,45%
32,Astronomy,Bachelors,75300,145600,52%
33,Mechatronics,Bachelors,80900,144300,46%
34,Computational & Applied Mathematics,Bachelors,85700,144100,46%
35,Aeronautical Engineering,Bachelors,84200,143400,63%
36,Welding Engineering,Bachelors,86600,143300,-
37,Electrical Engineering (EE),Bachelors,84900,143000,54%
38,Electrical & Electronics Engineering (EEE),Bachelors,83900,142900,57%
39,Naval Architecture & Marine Engineering,Bachelors,82800,142800,49%
40,Instrumentation & Control Engineering,Bachelors,82800,141900,44%
41,Construction Engineering Management,Bachelors,78100,141800,53%
42,Computer Science (CS) & Mathematics,Bachelors,80300,141000,44%
43,Engineering Physics,Bachelors,78600,140300,48%
44,Mechanical & Aeronautical Engineering,Bachelors,80900,139900,62%
45,Chemical & Biomolecular Engineering,Bachelors,86000,139700,51%
45,Computer Science (CS),Bachelors,85400,139700,42%
47,Jazz Studies,Bachelors,60000,139400,51%
48,Bioscience,Bachelors,59900,139300,-
49,Information Management,Bachelors,67000,139000,33%
50,Aerospace Engineering,Bachelors,83500,138100,53%
51,Ocean Engineering (OE),Bachelors,78500,137800,49%
51,Pharmacology,Bachelors,63500,137800,-
53,Nuclear Engineering,Bachelors,85200,137600,55%
54,Bioengineering (BioE),Bachelors,79500,137300,67%
55,Applied Mathematics,Bachelors,77200,137000,40%
56,Paper Science,Bachelors,84900,136500,43%
56,Physician Assistant Studies,Bachelors,109600,136500,83%
58,Materials Science,Bachelors,76700,136200,-
59,Engineering,Bachelors,77800,135800,58%
60,Industrial & Systems Engineering,Bachelors,82000,135700,48%
61,Metallurgical Engineering,Bachelors,90800,135500,63%
62,Materials Science & Engineering,Bachelors,81200,135300,47%
63,Mining Engineering,Bachelors,87400,135200,59%
64,Operations Management & Information Systems,Bachelors,75900,134900,43%
65,Business & Information Technology (IT),Bachelors,71400,134700,50%
66,Interactive Media Design,Bachelors,59600,134400,33%
67,Energy Management,Bachelors,70100,134100,66%
67,Physics,Bachelors,75500,134100,49%
69,Materials Engineering,Bachelors,81200,133900,58%
70,Biomedical Engineering (BME),Bachelors,80300,133500,71%
71,Industrial Engineering (IE),Bachelors,80500,133400,44%
71,Software Engineering,Bachelors,84200,133400,45%
73,Global & International Studies,Bachelors,59400,133300,55%
74,Computer & Information Science,Bachelors,72600,133100,58%
75,Aeronautical/Aerospace Engineering Technology,Bachelors,82400,132800,51%
76,Economics and Mathematics,Bachelors,77100,132700,38%
